ID,NAME,OWNER,ADDRESS,SUBURB,STATE,LATITUDE,LONGITUDE
1776,Capricorn Roadhouse,BP,10 Great Northern Highway,Capricorn,Western Australia,-23.454103,119.798398
1777,Leonora ,BP,22 Tower Street,Leonora,Western Australia,-28.8884669999999,121.329854
1778,Salmon Gums Roadhouse,BP,Lot 31 and Lot 32 Coolgardie-Esperance Highway,Salmon Gums,Western Australia,-32.980217,121.643122
1779,Munglinup Roadhouse,BP,16 Tubada Street,Munglinup,Western Australia,-33.705032,120.860716
1780,Independent via Carnarvon,Independent Fuel Supplies,North West Coastal Highway,Nanutarra,Western Australia,-22.543065,115.500791
1781,Independent Kumarina,Independent Fuel Supplies,Lot 1 Great Northern Highway,Kumarina,Western Australia,-24.710789,119.6075
1782,BP Balladonia,BP,Eyre Highway,Fraser Range,Western Australia,-32.3522409999999,123.617048
1783,Dirranbandi ,BP,3 Railway Street,Dirranbandi,Queensland,-28.585681,148.223671
1784,Opal Miners Enterprises Inc,Shell,Umoona Road and Old Watertank Road,Coober Pedy,South Australia,-29.007645,134.761533
1785,Caltex Coober Pedy,Caltex,Hutchison Street and Malliotis Boulevard,Coober Pedy,South Australia,-29.0158479999999,134.754648
1786,Caltex Nyngan,Caltex,126-132 Pangee Street,Nyngan,New South Wales,-31.564829,147.200253
1787,Mobil Hay,7-Eleven Pty Ltd,58 Lachlan Street,Hay,New South Wales,-34.5127669999999,144.842607
1788,Cobar Auto Port,Shell,69 Marshall Street,Cobar,New South Wales,-31.4973219999999,145.834767
1789,Howell's ,Shell,57 Pangee Street,Nyngan,New South Wales,-31.5615129999999,147.192788
1790,Mobil Hay South,7-Eleven Pty Ltd,417-423 Sturt Highway,Hay South,New South Wales,-34.520136,144.839652
1791,Independent Tibooburra,Independent Fuel Supplies,Lot 1 Burgess Street,Tibooburra,New South Wales,-29.436617,142.005667
1792,Caltex Cobar,Caltex,99 Barrier Highway,Cobar,New South Wales,-31.4964709999999,145.827498
1793,Caltex Nyngan,Caltex,41 Pangee Street,Nyngan,New South Wales,-31.560955,147.191547
1794,Independent Hay,Shell,168 Lachlan Street,Hay,New South Wales,-34.507755,144.843404
1795,Caltex Hay South,Caltex,429-431 Moama Street,Hay South,New South Wales,-34.520007,144.838112
1796,Ampol Berridale,Ampol,68 Jindabyne Road,Berridale,New South Wales,-36.365425,148.82697
1797,Cobar Tyre Centre,BP,65 Marshall Street,Cobar,New South Wales,-31.497452,145.835918
1798,Nyngan Truck & Travellers Stop,BP,124 Nymagee Street,Nyngan,New South Wales,-31.563147,147.200146
1799,Hay Motor Cycles,BP,68 Lachlan Street,Hay,New South Wales,-34.5119559999999,144.842736
1800,BP Barham,BP,50 Moulamein Road,Barham,New South Wales,-35.620121,144.131755
1801,B F & D J Quade,Independent Fuel Supplies,75 Forbes Street,Trundle,New South Wales,-32.921659,147.709993
1802,BP Barraba,BP,69 Queen Street,Barraba,New South Wales,-30.381097,150.6094
1803,Ampol Ivanhoe,Ampol,Lot 1 Columbus Street,Ivanhoe,New South Wales,-32.9003079999999,144.301971
1804,Independent Ivanhoe,Ampol,Cobb Highway,Ivanhoe,New South Wales,-32.8969299999999,144.299358
1805,Independent Menindee,7-Eleven Pty Ltd,1 Farnell Street,Menindee,New South Wales,-32.388342,142.41406
1806,Caltex Trangie,Caltex,76 Narromine Street,Trangie,New South Wales,-32.032348,147.985161
1807,Caltex Warren,Caltex,1 Coonamble Road,Ravenswood,New South Wales,-31.6952279999999,147.840512
1808,Caltex Moonbi,Caltex,Lot 2 New England Highway,Moonbi,New South Wales,-31.022936,151.068975
1809,Ampol Manilla,Ampol,286 Manilla Street,Manilla,New South Wales,-30.739593,150.716243
1810,Murrurundi Shell Roadhouse,Shell,3-7 Mayne Street,Murrurundi,New South Wales,-31.765818,150.842701
1811,Wilcannia Roadhouse,Shell,15-19 Myers Street,Wilcannia,New South Wales,-31.5592109999999,143.377765
1812,BP Ravenswood,BP,4 Coonamble Road,Ravenswood,New South Wales,-31.6968019999999,147.840547
1813,Independent Manilla,Independent Fuel Supplies,Tamworth Road and South Street,Manilla,New South Wales,-30.757077,150.729522
1814,BP Jindabyne,BP,8 Kosciuszko Road,Jindabyne,New South Wales,-36.41479,148.617881
1815,Caltex Jindabyne,Caltex,4 Kosciuszko Road,Jindabyne,New South Wales,-36.413959,148.622508
1816,Independent Khancoban,Shell,1389 Alpine Way,Khancoban,New South Wales,-36.2193559999999,148.124051
1817,Caltex Corryong,Caltex,1516 Murray Valley Highway,Corryong,Victoria,-36.202754,147.883589
1818,Independent Corryong,Independent Fuel Supplies,33 Donaldson Street,Corryong,Victoria,-36.193146,147.905403
1819,Caltex Balranald,Independent Fuel Supplies,203 Market Street,Balranald,New South Wales,-34.631968,143.553591
1820,Mobil Jindabyne East,7-Eleven Pty Ltd,5332 Kosciuszko Road,East Jindabyne,New South Wales,-36.3941819999999,148.65165
1821,Mobil Balranald,7-Eleven Pty Ltd,99 Market Street,Balranald,New South Wales,-34.6394819999999,143.56354
1822,Snowline Holiday Park,Shell,6532 Kosciuszko Road,Jindabyne,New South Wales,-36.410048,148.596724
1823,Shell Balranald ,Shell,80 Market Street,Balranald,New South Wales,-34.6408259999999,143.564344
1824,Caltex Coolamon,Caltex,Wade Street & Cowabbie Street,Coolamon,New South Wales,-34.8166239999999,147.200055
1825,Caltex Torrumbarry,Caltex,2594 Murray Valley Highway,Torrumbarry,Victoria,-36.02874,144.516987
1826,BP The Gap,BP,73 Gap Road,The Gap,Northern Territory,-23.716986,133.872587
1827,Alice Springs ,BP,20 Whittaker Street,Alice Springs,Northern Territory,-23.6945661889999,133.874878543
1828,Woolworths Caltex Alice Springs,Caltex,1 Wills Terrace,Alice Springs,Northern Territory,-23.69564,133.880497
1829,Caltex Alice Springs,Caltex,44A Stuart Highway,Alice Springs,Northern Territory,-23.693341721,133.878337379
1830,Indervon Pty Ltd,Caltex,337 Stuart Highway,Stuart,Northern Territory,-23.664636,133.864047
1831,Mobil Alice Springs,7-Eleven Pty Ltd,178 Larapinta Drive,Araluen,Northern Territory,-23.704172,133.853184
1832,Mobil Alice Springs,7-Eleven Pty Ltd,70 Spearwood Road,Sadadeen,Northern Territory,-23.7004719999999,133.89998
1833,Mobil Alice Springs,7-Eleven Pty Ltd,16 Ghan Road,Ciccone,Northern Territory,-23.6933369999999,133.871335
1834,Mobil Alice Springs,7-Eleven Pty Ltd,34 Stuart Highway,Ciccone,Northern Territory,-23.691068,133.875971
1835,Coles Express Alice Springs Gap Road,Shell,2 Bagot Street,The Gap,Northern Territory,-23.7075179999999,133.878981
1836,Coles Express Alice Springs Mount Gillen,Shell,6 Larapinta Drive,Ciccone,Northern Territory,-23.701219,133.87153
1837,Coles Express Alice Springs Truck Stop,Shell,11 Lilbili Street,Braitling,Northern Territory,-23.6674629999999,133.864021
1838,Mobil Yulara,7-Eleven Pty Ltd,257 Yulara Drive,Yulara,Northern Territory,-25.2401179999999,130.990057
1839,Independent Pine Creek,Independent Fuel Supplies,Main Terrace and Ward Street,Pine Creek,Northern Territory,-13.822464,131.833816
1840,Caltex Katherine,Caltex,Victoria Highway and Croker Street,Katherine South,Northern Territory,-14.4849889999999,132.257152
1841,BP Pine Creek,BP,69 Main Terrace,Pine Creek,Northern Territory,-13.8249509999999,131.835154
1842,Katherine,BP,Zimmin Drive,Cossack,Northern Territory,-14.4534938909999,132.246228527
1843,Rainbow Beach Holiday,BP,Rainbow Beach Road,Rainbow Beach,Queensland,-25.9033969999999,153.091787
1844,BP Munduberra,BP,31 Bouverie Street,Mundubbera,Queensland,-25.588501,151.30017
1845,BP Thangool,BP,2 Winston Street,Thangool,Queensland,-24.4863159999999,150.573203
1846,BP Orbit,BP,40 Kroombit Street,Biloela,Queensland,-24.4005579999999,150.515411
1847,Ampol Eidsvold,Independent Fuel Supplies,51 Moreton Street,Eidsvold,Queensland,-25.371788,151.122292
1848,Independent Biloela,Caltex,45 Dawson Highway,Biloela,Queensland,-24.4042449999999,150.505966
1849,Woolworths Caltex Biloela,Caltex,44 Callide Street,Biloela,Queensland,-24.403872,150.513786
1850,Caltex Agnes Water,Caltex,1 Captain Cook Drive,Agnes Water,Queensland,-24.212543,151.902573
1851,Shell Rainbow Beach,Shell,Cnr Rainbow Beach Road and Cypress Avenue,Rainbow Beach,Queensland,-25.9052639999999,153.089941
1852,Miriam Vale Garage,Independent Fuel Supplies,10 South Street,Miriam Vale,Queensland,-24.329787,151.563491
1853,The Big Crab,Shell,Cnr Bruce Highway and Dougall Street,Miriam Vale,Queensland,-24.32823,151.560575
1854,Ampol Quirindi,Ampol,65 Centre Street,Quirindi,New South Wales,-31.491595,150.681878
1855,Independent Scone,Independent Fuel Supplies,227 Kelly Street,Scone,New South Wales,-32.053028,150.86683
1856,Tamarang ,Shell,Lot 1 Station Street,Quirindi,New South Wales,-31.501887,150.681457
1857,Coles Express Scone,Shell,91-93 Kelly Street,Scone,New South Wales,-32.047161,150.867637
1858,Coles Express Muswellbrook,Shell,148 Bridge Street,Muswellbrook,New South Wales,-32.2608579999999,150.888974
1859,Pritchard ,Shell,6 Ogilvie Street,Denman,New South Wales,-32.38954,150.689118
1860,Mobil Quirindi,7-Eleven Pty Ltd,4 Cross Street,Quirindi,New South Wales,-31.498982,150.681948
1861,Mobil Muswellbrook,7-Eleven Pty Ltd,49-51 Maitland Street,Muswellbrook,New South Wales,-32.2721769999999,150.890015
1862,Independent Currabubula,Independent Fuel Supplies,4 Davis Street,Currabubula,New South Wales,-31.263677,150.732151
1863,Independent Caroona,Independent Fuel Supplies,Lot C Boundary Street,Caroona,New South Wales,-31.406552,150.425701
1864,Caltex Scone,Caltex,236 Kelly Street,Scone,New South Wales,-32.055104,150.869027
1865,Caltex Merriwa,Caltex,163-167 Bettington Street,Merriwa,New South Wales,-32.1394129999999,150.353002
1866,Woolworths Caltex Muswellbrook,Caltex,68-78 Brook Street,Muswellbrook,New South Wales,-32.263226,150.890763
1867,Caltex Muswellbrook,Caltex,12-20 Sydney Street,Muswellbrook,New South Wales,-32.267775,150.887907
1868,Caltex Muswellbrook,Caltex,84-86 Maitland Street,Muswellbrook,New South Wales,-32.277915,150.898048
1869,Caltex Sandy Hollow,Caltex,1612-1618 Golden Highway,Sandy Hollow,New South Wales,-32.3343879999999,150.566785
1870,Highway Service,BP,66 Kelly Street,Scone,New South Wales,-32.0441269999999,150.866357
1871,BP Muswellbrook,BP,42-50 Sydney Street,Muswellbrook,New South Wales,-32.268524,150.886652
1872,BP Coly RH,BP,12 Kingfisher Avenue,Coleambally,New South Wales,-34.8061529999999,145.882967
1873,Darlington Point Truck Stop,BP,Lot 7 Sturt Highway,Darlington Point,New South Wales,-34.593939,145.992741
1874,BP Tomingley,BP,Lot B Myall Street,Tomingley,New South Wales,-32.569723,148.221547
1875,Dunedoo  Centre,BP,20-24 Bolaro Street,Dunedoo,New South Wales,-32.0165299999999,149.398589
1876,Black Stump ,BP,119 Binnia Street,Coolah,New South Wales,-31.827417,149.715698
1877,Coolah ,BP,72 Cunningham Street,Coolah,New South Wales,-31.823119,149.724442
1878,Caltex Woolworths Coonabarabran,Caltex,85-87 John Street,Coonabarabran,New South Wales,-31.2723129999999,149.277157
1879,Tramby & Hanks Pty Ltd,Independent Fuel Supplies,Lot 111 Newell Highway,Gurley,New South Wales,-29.736356868,149.799543343
1880,Mobil Bellata,7-Eleven Pty Ltd,Lot 1 Wilga Street,Bellata,New South Wales,-29.917071,149.790811
1881,Coles Express Coonabarabran,Shell,Newell Highway and Edwards Street,Coonabarabran,New South Wales,-31.2771569999999,149.27837
1882,Shell Tomingley,Shell,Lot 7 and Lot 9 Myall Street,Tomingley,New South Wales,-32.5716689999999,148.22163
1883,Coles Express Broken Hill,Shell,162-166 Williams Street,Broken Hill,New South Wales,-31.951498,141.453738
1884,Mobil Broken Hill,7-Eleven Pty Ltd,1 Blende Street,Broken Hill,New South Wales,-31.9646119999999,141.453486
1885,Mobil Broken Hill,7-Eleven Pty Ltd,174 Wills Street,Broken Hill,New South Wales,-31.967844,141.445329
1886,Tasco Inland Australia Pty Ltd,Caltex,18-20 Kanandah Road,Broken Hill,New South Wales,-31.98424326,141.432533705
1887,Ampol Broken Hill,Independent Fuel Supplies,535 Argent Street,Broken Hill,New South Wales,-31.9531229999999,141.474523
1888,Caltex Broken Hill,Caltex,73 Oxide Street,Broken Hill,New South Wales,-31.955182,141.465891
1889,Woolworths Caltex Broken Hill,Caltex,106 Galena Street,Broken Hill,New South Wales,-31.96192,141.449187
1890,Caltex Broken Hill,7-Eleven Pty Ltd,84 Patton Street,Broken Hill,New South Wales,-31.9813179999999,141.458604
1891,BP South Broken Hill,BP,90A Patton Street,Broken Hill,New South Wales,-31.9809559999999,141.459113
1892,BP Cocklebiddy,BP,Eyre Highway,Cocklebiddy,Western Australia,-32.037678,126.097003
1893,BP Lyndhurst Store,BP,1 Main Road,Lyndhurst,South Australia,-30.28727,138.349092
1894,BP Eromanga,Independent Fuel Supplies,Webber Street,Eromanga,Queensland,-26.668472,143.266748
1895,Birdsville Fuel Service,BP,Florence Street,Birdsville,Queensland,-25.899215,139.353485
1896,Winton Roadhouse,BP,35 Chirnside Street,Corfield,Queensland,-22.379425,143.04285
1897,BP Richmond,BP,Lot 2 Flinders Highway,Richmond,Queensland,-20.738865,143.150552
1898,Cloncurry ,BP,1 Phillip Street,Cloncurry,Queensland,-20.7168789999999,140.501991
1899,Roadrunner Roadhouse,BP,24 McIlwrath Street,Cloncurry,Queensland,-20.7064349999999,140.522239
1900,BP Renner Springs Desert,Independent Fuel Supplies,Stuart Highway,Pamayu,Northern Territory,-18.318499,133.79557
1901,Travellers Tavern,BP,North Road,Georgetown,Queensland,-18.290129,143.548999
1902,The Top ,BP,56 Landsborough Street,Normanton,Queensland,-17.6741299999999,141.074474
1903,Daly Waters,BP,Stuart Highway and Carpentaria Highway,Birdum,Northern Territory,-16.3076599999999,133.385659
1904,Gulf Mini Mart,Independent Fuel Supplies,130-166 Robinson Road,Borroloola,Northern Territory,-16.073496,136.307561
1905,Adelaide River Inn,BP,106 Stuart Highway,Adelaide River,Northern Territory,-13.238595,131.106459
1906,Batchelor ,BP,27 Rum Jungle Road,Batchelor,Northern Territory,-13.046301,131.024494
1907,Berry Springs Centre,BP,817-829 Cox Peninsula Road,Berry Springs,Northern Territory,-12.7010982469999,131.015485915
1908,Weipa-Evans Landing,BP,28 Iraci Crescent,Evans Landing,Queensland,-12.6598569,141.853547112
1909,Weipa-Boundary Road,BP,225 Boundary Road,Rocky Point,Queensland,-12.629356,141.880105
1910,17 Mile,Independent Fuel Supplies,2 Virginia Road,Virginia,Northern Territory,-12.516495,131.028987
1911,Independent Eucla,Caltex,Eucla-Reid Road and Eyre Highway,Eucla,Western Australia,-31.6770959999999,128.88422
1912,Independent Kynuna,Caltex,Matilda Highway,Kynuna,Queensland,-21.5785799999999,141.920365
1913,Caltex Richmond,Caltex,101 Simpson Street,Richmond,Queensland,-20.739181,143.144968
1914,Independent Richmond,Caltex,Flinders Highway,Richmond,Queensland,-20.733986,143.139394
1915,Caltex Mount Isa,Caltex,105 Camooweal Street,Mount Isa,Queensland,-20.7238819999999,139.493015
1916,Woolworths Caltex Mount Isa,Caltex,42 Miles Street,Mount Isa,Queensland,-20.723811,139.492507
1917,Caltex Cloncurry,Caltex,4 Ramsay Street,Cloncurry,Queensland,-20.707326,140.510208
1918,Woolworths Caltex Cloncurry,Caltex,33 Ramsay Street,Cloncurry,Queensland,-20.706537,140.506927
1919,Ampol Georgetown,Ampol,Lot 120  St George Street,Georgetown,Queensland,-18.290358,143.549343
1920,Independent Mataranka,Independent Fuel Supplies,Roper Terrace,Mataranka,Northern Territory,-14.9254099999999,133.068834
1921,Independent Musgrave,Musgrave Cafe,Lot 1 Peninsula Developmental Road,Yarraden,Queensland,-14.782452,143.483406
1922,Independent Coen,Shell,32 Regent Street,Coen,Queensland,-13.9469,143.201578
1923,Independent Archer River,Independent Fuel Supplies,Peninsula Developmental Road,Archer River,Queensland,-13.437495,142.938549
1924,Independent Berry Springs,Independent Fuel Supplies,778-810 Cox Peninsula Road,Berry Springs,Northern Territory,-12.700713,131.014047
1925,Caltex Humpty Doo,Caltex,600 Arnhem Highway,Humpty Doo,Northern Territory,-12.5783289999999,131.127673
1926,Woolworths Caltex Coolalinga,Caltex,15 Henning Road,Coolalinga,Northern Territory,-12.5252159999999,131.043334
1927,Caltex Coolalinga,Caltex,465 Stuart Highway,Coolalinga,Northern Territory,-12.523514,131.043688
1928,Mobil Olympic Dam,7-Eleven Pty Ltd,Lot 719 Olympic Way,Olympic Dam,South Australia,-30.4842859999999,136.893001
1929,Cadney Park,7-Eleven Pty Ltd,Stuart Highway,Marla,South Australia,-27.905522,134.056581
1930,Mobil Ti Tree Well,7-Eleven Pty Ltd,Stuart Highway,Ti Tree,Northern Territory,-22.1307229999999,133.416571
1931,Mobil Cloncurry,7-Eleven Pty Ltd,Lot 4 Sir Hudson Fysh Drive,Cloncurry,Queensland,-20.6881279999999,140.508946
1932,Madura Shell,Shell,Lot 11 Eyre Highway,Madura,Western Australia,-31.899712,127.019892
1933,BP Glendambo Travel Stop,BP,Robert Bruce Drive,Glendambo,South Australia,-30.97014,135.750847
1934,Crawfo's Motors,Independent Fuel Supplies,61 Dowling Street,Thargomindah,Queensland,-27.995851,143.820734
1935,Erldunda Roadhouse,Shell,Stuart Highway,Erldunda,Northern Territory,-25.197554,133.20078
1936,Shell McKinlay Roadhouse,Shell,29 Bell Street,McKinlay,Queensland,-21.2717319999999,141.288916
1937,Coles Express Mount Isa Grace Street,Shell,106 Camooweal Street,Mount Isa,Queensland,-20.723936,139.493961
1938,Coles Express Mount Isa Truckport,Shell,221-239 Barkly Highway,Mount Isa,Queensland,-20.69273,139.488881
1939,Shell Threeways Roadhouse,Shell,Stuart Highway and Barkly Highway,Three Ways,Northern Territory,-19.4366419999999,134.208121
1940,Croydon Shell General Store,Shell,Sircom Street,Croydon,Queensland,-18.2008719999999,142.243558
1941,Dunmarra Wayside Inn,Shell,Stuart Highway,Birdum,Northern Territory,-16.679539,133.412484
1942,Glendambo Roadhouse,7-Eleven Pty Ltd,Robert Bruce Drive,Glendambo,South Australia,-30.967481,135.749838
1943,Mobil Marla,7-Eleven Pty Ltd,Wattle Street,Marla,South Australia,-27.30391,133.622755
1944,Mobil,7-Eleven Pty Ltd,40 Miles Street,Mount Isa City,Queensland,-20.724351,139.492424
1945,Shell Cloncurry,Shell,1-9 Ramsay Street,Cloncurry,Queensland,-20.7065899999999,140.509766
1946,Mobil,7-Eleven Pty Ltd,Aldridge Street,Croydon,Queensland,-18.202289,142.244676
1947,Independent Elliott,Independent Fuel Supplies,5 Stuart Highway,Elliott,Northern Territory,-17.5558789999999,133.547857
1948,Ampol Elliott,Ampol,36 Stuart Highway,Elliott,Northern Territory,-17.553058,133.543515
1949,Independent Mataranka,Independent Fuel Supplies,Stuart Highway and Warloch Street,Mataranka,Northern Territory,-14.9241479999999,133.067493
1950,Shell Mataranka,Shell,14 Roper Terrace,Mataranka,Northern Territory,-14.922943,133.066197
1951,Shell Virginia,Shell,Virginia Road and Hinton Road,Virginia,Northern Territory,-12.5179649999999,131.028998
1952,Batchelor,BP,388 Rumjungle Road,Batchelor,Northern Territory,-13.044311523,131.02331543
1953,BP Dover,BP,1-5  Station Road,Dover,Tasmania,-43.312123,147.016385
1954,Geevestone ,BP,4840 Huon Highway,Geeveston,Tasmania,-43.1648269999999,146.926351
1955,Doyles BP Cygnet,BP,42 Mary Street,Cygnet,Tasmania,-43.159868,147.076099
1956,BP Huonville,BP,58-60 Main Street,Huonville,Tasmania,-43.029057,147.049765
1957,BP Margate,BP,1718 Channel Highway,Margate,Tasmania,-43.026535,147.261005
1958,BP Kingston,BP,36-38 Channel Highway,Kingston,Tasmania,-42.975316,147.309745
1959,BP Lauderdale,BP,538 South Arm Road,Lauderdale,Tasmania,-42.9157089999999,147.486211
1960,BP Sandy Bay,BP,615 Sandy Bay Road,Sandy Bay,Tasmania,-42.913372,147.355038
1961,BP Store Dunalley,Independent Fuel Supplies,30 Constance Street,Dunalley,Tasmania,-42.890547,147.804214
1962,BP Howrah,BP,242 Clarence Street,Howrah,Tasmania,-42.877517,147.396298
1963,BP North Hobart,BP,285 Elizabeth Street,North Hobart,Tasmania,-42.875098,147.317838
1964,BP Brooker,BP,200 Brooker Highway,North Hobart,Tasmania,-42.87004,147.321369
1965,BP Moonah,BP,30-34 Main Road,Moonah,Tasmania,-42.8492199999999,147.296475
1966,BP Lindisfarne,BP,166-172 East Derwent Highway,Lindisfarne,Tasmania,-42.846489,147.359802
1967,BP Cambridge,BP,2 Rose Circuit,Cambridge,Tasmania,-42.837074,147.440781
1968,BP Hobart Airport,BP,1 Holyman Avenue,Cambridge,Tasmania,-42.8327669999999,147.491251
1969,BP Wyndham Road,BP,34 Wyndham Road,Claremont,Tasmania,-42.7896949999999,147.246572
1970,BP Sorell,BP,38 Gordon Street,Sorell,Tasmania,-42.786215,147.561917
1971,BP Brighton,BP,40 Midland Highway,Brighton,Tasmania,-42.699215,147.251336
1972,Hamilton Newsagency,Independent Fuel Supplies,18 Franklin Place,Hamilton,Tasmania,-42.555594,146.83396
1973,BP Triabunna ,BP,19 Tasman Highway,Triabunna,Tasmania,-42.5014179999999,147.914434
1974,Ouse,BP,6937 Lyell Highway,Ouse,Tasmania,-42.485824,146.71226
1975,Oatlands BP,BP,52 High Street,Oatlands,Tasmania,-42.3007719999999,147.36949
1976,Ross Newsagency,BP,38 Church Street,Ross,Tasmania,-42.030404,147.491809
1977,Colac West,BP,340 Princes Highway,Colac West,Victoria,-38.3349700709999,143.553702677
1978,BP Mount Gambier,BP,221 Jubilee Highway West,Mount Gambier,South Australia,-37.814217,140.752105
1979,BP Penola,BP,90 Church Street,Penola,South Australia,-37.3749339999999,140.836329
1980,BP Pine Valley,BP,698 Snowy Mountains Highway,Dairymans Plains,New South Wales,-36.245617,149.053413
1981,Rhythym Snow Sports,BP,8 Sharp Street,Cooma,New South Wales,-36.230155,149.13485
1982,BP Deniliquin,BP,157 Hardings Street,Deniliquin,New South Wales,-35.532426222,144.952027334
1983,BP Roundabout,BP,52 Bookpurnong Road,Loxton,South Australia,-34.452752,140.569567
1984,BP Glossop,BP,7-9 Anderson Terrace,Glossop,South Australia,-34.2704679999999,140.530106
1985,Burra Motor Company,BP,1 Upper Thames Street,Burra,South Australia,-33.6820499999999,138.939693
1986,BP Express Wyoming,BP,471-479 Pacific Highway,Wyoming,New South Wales,-33.4080739999999,151.351122
1987,BP Tumbi Umbi,BP,1 Mingara Drive,Tumbi Umbi,New South Wales,-33.3627749999999,151.444269
1988,Central Coast Tractors,BP,51 Smiths Road,Somersby,New South Wales,-33.35704,151.289069
1989,BP Express Tuggerah,BP,100 Pacific Highway,Tuggerah,New South Wales,-33.305782,151.419808
1990,BP North Wyong,BP,Amy Close,Wyong,New South Wales,-33.2678519999999,151.435425
1991,BP North Wyong,BP,Amy Close,Wyong,New South Wales,-33.2677679999999,151.435381
1992,BP Express Toronto,BP,132 Cary Street,Toronto,New South Wales,-33.01145,151.593872
1993,BP Express Valentine,BP,855 Macquarie Drive,Valentine,New South Wales,-33.008011,151.642587
1994,BP Gateshead,BP,66-68 Oxford Street,Gateshead,New South Wales,-32.9783469999999,151.683541
1995,BP Warners Bay,BP,482 King Street,Warners Bay,New South Wales,-32.975609,151.645237
1996,BP Charlestown,Liberty,273 Charlestown Road,Charlestown,New South Wales,-32.9580329999999,151.689804
1997,BP Cardiff,BP,328 Main Road,Cardiff,New South Wales,-32.937936,151.656926
1998,BP New Lambton,BP,105 Street James Road,New Lambton,New South Wales,-32.929121,151.71561
1999,BP Newcastle West,BP,113-125 Parry Street,Newcastle West,New South Wales,-32.925531,151.755758
2000,Tighes Hill,BP,1-35 Gross Street,Carrington,New South Wales,-32.9050819999999,151.759872
2001,BP Wallsend,BP,103 Newcastle Road,Wallsend,New South Wales,-32.904056,151.682401
2002,BP Mayfield,BP,25-27 Maitland Road,Mayfield,New South Wales,-32.9028079999999,151.744358
2003,BP Mayfield Central,BP,292 Maitland Road,Mayfield,New South Wales,-32.8969729999999,151.735576
2004,BP Steel River,BP,15 Murray Dwyer Circuit,Mayfield West,New South Wales,-32.885029,151.726803
2005,BP Hexham,BP,366 Maitland Road,Hexham,New South Wales,-32.8275629999999,151.684692
2006,BP Express Beresfield,BP,2 Kinta Drive,Beresfield,New South Wales,-32.8113989999999,151.63954
2007,BP Thornton,BP,5 Glenwood Drive,Thornton,New South Wales,-32.7900549999999,151.635068
2008,BP Connect Heatherbrae,BP,2398 Pacific Highway,Heatherbrae,New South Wales,-32.783249,151.737014
2009,Medowie Tyre & Auto,BP,699-701 Medowie Road,Medowie,New South Wales,-32.747645,151.86867
2010,BP Rutherford,BP,360 New England Highway,Rutherford,New South Wales,-32.7100649999999,151.516743
2011,Hyden ,Independent Fuel Supplies,Marshall Street,Hyden,Western Australia,-32.451319908,118.86114133
2012,Darling River Fuels,BP,2-8 Martin Street,Wilcannia,New South Wales,-31.562416366,143.376029927
2013,BP Mingenew ,BP,Lot 60 Victoria Road,Mingenew,Western Australia,-29.189107696,115.441358765
2014,BP Miner's Store,BP,Hutchison Street and Halliday Place,Coober Pedy,South Australia,-29.0126069999999,134.754822
2015,BP Riverway,7-Eleven Pty Ltd,1231 Riverway Drive,Rassmussen,Queensland,-19.36374,146.73136
2016,BP Townsville Truckstop,7-Eleven Pty Ltd,Racecourse Road,Fairfield,Queensland,-19.318168,146.811958
2017,Davis Auto Air,Independent Fuel Supplies,59 Ingham Road,Townsville,Queensland,-19.268177,146.801642
2018,BP Bolam,7-Eleven Pty Ltd,25-27 Bolam Street,Garbutt,Queensland,-19.265838,146.770898
2019,Independent Middleton,Independent Fuel Supplies,Lot 1 Channel Highway,Middleton,Tasmania,-43.2325759999999,147.253487
2020,Independent Woodbridge,Independent Fuel Supplies,3399 Channel Highway,Woodbridge,Tasmania,-43.156213,147.238501
2021,Independent Port Arthur,Independent Fuel Supplies,6959 Arthur Highway,Port Arthur,Tasmania,-43.139808,147.851086
2022,Independent Nubeena,Independent Fuel Supplies,1637 Main Road,Nubeena,Tasmania,-43.098787,147.742797
2023,Caltex Snug,Caltex,2243-2245 Channel Highway,Snug,Tasmania,-43.0688049999999,147.256976
2024,Independent Premaydena,Independent Fuel Supplies,1 Saltwater River Road,Premaydena,Tasmania,-43.0548449999999,147.772577
2025,Caltex Huonville,Caltex,9 Main Street,Huonville,Tasmania,-43.032302,147.047198
2026,Woolworths Caltex Huonville,Caltex,43-45 Main Street,Huonville,Tasmania,-43.029986,147.048563
2027,Caltex South Arm,Independent Fuel Supplies,3139 South Arm Road,South Arm,Tasmania,-43.028206,147.416903
2028,Caltex Grove,Caltex,1952 Huon Highway,Grove,Tasmania,-42.981552,147.096714
2029,Woolworths Caltex Kingston,Caltex,37-39 Maranoa Road,Kingston,Tasmania,-42.980963,147.303047
2030,Independent Murdunna,Independent Fuel Supplies,4050 Arthur Highway,Murdunna,Tasmania,-42.9476789999999,147.86638
2031,Independent Lauderdale,Independent Fuel Supplies,12 Bangalee Street,Lauderdale,Tasmania,-42.908378,147.492166
2032,Caltex Woolworths Sandy Bay,Caltex,388 Sandy Bay Road,Sandy Bay,Tasmania,-42.902215,147.334696
2033,Caltex South Hobart,Independent Fuel Supplies,418 Huon Road,South Hobart,Tasmania,-42.898769,147.304333
2034,Caltex Sandy Bay,Caltex,40 Princes Street,Sandy Bay,Tasmania,-42.897214,147.323514
2035,Caltex Hobart South,Caltex,154 Davey Street,Hobart,Tasmania,-42.8913229999999,147.321352
